時間,階段,文本,模型,CFG,DIT,結果,耗時(s),History-ID,檔案路徑,備註
2026-08-15T07:13:39,1,三國演義,bm-cent-mixed-e12-ep12-0810,2.0,10,成功,90.6,f294da3485e64807af32f6cba9243727,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-cent-mixed-e12-ep12-0810_CFG2.0_DIT10.wav,
2026-08-15T07:15:06,1,三國演義,bm-tslm-mixed-e12-ep12-0811,2.0,10,成功,86.2,2bc20ca11bd84355945422ef62979926,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-e12-ep12-0811_CFG2.0_DIT10.wav,
2026-08-15T07:16:45,1,三國演義,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,10,成功,99.1,6c240a706eb94fe394bcdd349396e629,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT10.wav,
2026-08-15T07:18:12,1,三國演義,bm-tslm-mixed-mixedval-e2.0-0804,2.0,10,成功,87.3,69dfde55e79f4a73b39f728e1f48fb26,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT10.wav,
2026-08-15T07:19:33,1,紅樓夢,bm-cent-mixed-e12-ep12-0810,2.0,10,成功,81.0,066b3cdd256d4677be4c2bb3bf8de920,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-cent-mixed-e12-ep12-0810_CFG2.0_DIT10.wav,
2026-08-15T07:21:16,1,紅樓夢,bm-tslm-mixed-e12-ep12-0811,2.0,10,成功,102.0,a6e96a82d31a4b30a0390c8cd27d3d0f,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-e12-ep12-0811_CFG2.0_DIT10.wav,
2026-08-15T07:24:16,1,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T07:27:16,1,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,2.0,10,失敗,180.0,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T07:30:04,1,紅樓夢,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,10,成功,52.8,e1e3ef0454a14a38afe80e7b245ab600,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT10.wav,
2026-08-15T07:30:48,1,紅樓夢,bm-tslm-mixed-mixedval-e2.0-0804,2.0,10,成功,44.3,6e209ca798664673b8d63539b7d53ac5,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/紅樓夢/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT10.wav,
2026-08-15T07:31:42,1,新聞,bm-cent-mixed-e12-ep12-0810,2.0,10,成功,53.6,fabc29d93e4a4d78b2d58b52c7785bd2,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-cent-mixed-e12-ep12-0810_CFG2.0_DIT10.wav,
2026-08-15T07:32:35,1,新聞,bm-tslm-mixed-e12-ep12-0811,2.0,10,成功,53.4,4ea62fb9fffb4ccbbe1b06ffba794652,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-e12-ep12-0811_CFG2.0_DIT10.wav,
2026-08-15T07:33:22,1,新聞,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,10,成功,46.8,36580e016c964e1089e4a81135b090c2,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT10.wav,
2026-08-15T07:34:08,1,新聞,bm-tslm-mixed-mixedval-e2.0-0804,2.0,10,成功,45.3,16dd3ee0e9b44a5bbcac61937ed4cbc4,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/新聞/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT10.wav,
2026-08-15T07:35:58,2,三國演義,bm-cent-mixed-e12-ep12-0810,2.0,20,成功,81.8,4587af37280049008503ad8d36382bde,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-cent-mixed-e12-ep12-0810_CFG2.0_DIT20.wav,
2026-08-15T07:37:17,2,三國演義,bm-tslm-mixed-e12-ep12-0811,2.0,20,成功,78.7,68b6eca50461499792f2f8ca991e11ef,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-e12-ep12-0811_CFG2.0_DIT20.wav,
2026-08-15T07:38:27,2,三國演義,bm-tslm-mixed-lr5e5-e0.9-0804,2.0,20,成功,70.3,4b423bbedd0243078318019fba1bdae1,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-lr5e5-e0.9-0804_CFG2.0_DIT20.wav,
2026-08-15T07:39:41,2,三國演義,bm-tslm-mixed-mixedval-e2.0-0804,2.0,20,成功,73.5,7981c6b6b69a4f19ab9dbe393e227291,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/Barbet_mix系列批次生成/三國演義/bm-tslm-mixed-mixedval-e2.0-0804_CFG2.0_DIT20.wav,
