時間,LLM,聲音,文本,結果,耗時(s),Seed,檔案路徑,備註
2026-08-17T22:15:02,V5,489女聲,三國演義,成功,52.1,1014819797,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V5_489女聲.wav,
2026-08-17T22:15:45,V5,489女聲,紅樓夢,成功,42.3,2041016364,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V5_489女聲.wav,
2026-08-17T22:16:30,V5,489女聲,氣象,成功,45.0,646346609,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V5_489女聲.wav,
2026-08-17T22:17:07,V5,489女聲,三國演義台語,成功,37.3,1622323469,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V5_489女聲.wav,
2026-08-17T22:17:49,V5,489女聲,紅樓夢台語,成功,42.2,1515252458,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V5_489女聲.wav,
2026-08-17T22:18:34,V5,489女聲,氣象台語,成功,44.3,640748301,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V5_489女聲.wav,
2026-08-17T22:19:13,V5,680男聲,三國演義,成功,38.8,1775788735,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V5_680男聲.wav,
2026-08-17T22:19:55,V5,680男聲,紅樓夢,成功,42.7,1600116504,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V5_680男聲.wav,
2026-08-17T22:20:38,V5,680男聲,氣象,成功,42.7,2120947794,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V5_680男聲.wav,
2026-08-17T22:21:14,V5,680男聲,三國演義台語,成功,35.8,1881297143,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V5_680男聲.wav,
2026-08-17T22:21:59,V5,680男聲,紅樓夢台語,成功,45.3,1278331246,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V5_680男聲.wav,
2026-08-17T22:22:41,V5,680男聲,氣象台語,成功,41.8,1385819688,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V5_680男聲.wav,
2026-08-17T22:23:20,V4,489女聲,三國演義,成功,38.3,1211324018,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V4_489女聲.wav,
2026-08-17T22:24:02,V4,489女聲,紅樓夢,成功,41.9,1732530491,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V4_489女聲.wav,
2026-08-17T22:24:42,V4,489女聲,氣象,成功,40.3,264838133,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象/V4_489女聲.wav,
2026-08-17T22:25:04,V4,489女聲,三國演義台語,成功,21.5,413312897,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義台語/V4_489女聲.wav,
2026-08-17T22:25:43,V4,489女聲,紅樓夢台語,成功,39.7,1610914098,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢台語/V4_489女聲.wav,
2026-08-17T22:26:22,V4,489女聲,氣象台語,成功,38.8,243475450,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/氣象台語/V4_489女聲.wav,
2026-08-17T22:26:58,V4,680男聲,三國演義,成功,35.2,470869254,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/三國演義/V4_680男聲.wav,
2026-08-17T22:27:30,V4,680男聲,紅樓夢,成功,32.4,490579739,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/CosyVoice3_台語試聽台批次生成/紅樓夢/V4_680男聲.wav,
