時間,階段,文本,模型,CFG,DIT,結果,耗時(s),History-ID,檔案路徑,備註
2026-08-15T01:21:22,1,三國演義,ft-mixed-lr1e5-e1.6-0801,2.0,10,成功,65.2,6bb537f62cda4fb188f6d71014d6f0de,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT10.wav,
2026-08-15T01:22:29,1,三國演義,ft-mixed-lr1e5-e2.0-0803,2.0,10,成功,67.0,c4a2e62902204649bc2e6c1d36a86eaa,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT10.wav,
2026-08-15T01:23:36,1,三國演義,ft-mixed-lr1e5-e2.3-0731,2.0,10,成功,66.8,5be8761d9d224ce2b51a02e306692445,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT10.wav,
2026-08-15T01:25:13,1,三國演義,lora-r32-mixed-e7.6-0731,2.0,10,成功,97.1,da98bba84c6a44c1ba185a996f2adec6,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/lora-r32-mixed-e7.6-0731_CFG2.0_DIT10.wav,
2026-08-15T01:26:33,1,紅樓夢,ft-mixed-lr1e5-e1.6-0801,2.0,10,成功,79.6,49cf9da2508345f3a46733f8c0eec0dc,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT10.wav,
2026-08-15T01:27:58,1,紅樓夢,ft-mixed-lr1e5-e2.0-0803,2.0,10,成功,85.3,71ef4d10a531430bb99e1c6b66e44741,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT10.wav,
2026-08-15T01:30:58,1,紅樓夢,ft-mixed-lr1e5-e2.3-0731,2.0,10,失敗,180.1,,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT10.wav,"HTTPConnectionPool(host='10.9.0.37', port=8800): Read timed out. (read timeout=180)"
2026-08-15T01:32:39,1,紅樓夢,lora-r32-mixed-e7.6-0731,2.0,10,成功,100.5,fa5147265b17482a82c5b7345d5f5268,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/lora-r32-mixed-e7.6-0731_CFG2.0_DIT10.wav,
2026-08-15T01:33:56,1,新聞,ft-mixed-lr1e5-e1.6-0801,2.0,10,成功,77.4,db97ac600ba84fa0bce5201f74f6d67a,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT10.wav,
2026-08-15T01:35:14,1,新聞,ft-mixed-lr1e5-e2.0-0803,2.0,10,成功,77.8,e0fdcd9ae5134369b0e3fdc431061ffd,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT10.wav,
2026-08-15T01:36:24,1,新聞,ft-mixed-lr1e5-e2.3-0731,2.0,10,成功,70.0,2969bf4badd148b687f154c0169b1eb6,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT10.wav,
2026-08-15T01:38:14,1,新聞,lora-r32-mixed-e7.6-0731,2.0,10,成功,110.0,61e39af9d67f42afbaaedd4386c22193,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/新聞/lora-r32-mixed-e7.6-0731_CFG2.0_DIT10.wav,
2026-08-15T01:40:22,1,紅樓夢,ft-mixed-lr1e5-e2.3-0731,2.0,10,成功,82.2,5b256d5edfdc43d99751bea80eabad14,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT10.wav,（重跑後成功）
2026-08-15T01:42:48,2,三國演義,ft-mixed-lr1e5-e1.6-0801,2.0,20,成功,69.6,b8853b2e70d34fd3969147f9b7285128,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT20.wav,
2026-08-15T01:43:57,2,三國演義,ft-mixed-lr1e5-e2.0-0803,2.0,20,成功,69.2,2726142dc3084446b21a579477bd9c72,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e2.0-0803_CFG2.0_DIT20.wav,
2026-08-15T01:45:01,2,三國演義,ft-mixed-lr1e5-e2.3-0731,2.0,20,成功,64.4,3e9888c3b782440cb44ab2d3748ce374,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/ft-mixed-lr1e5-e2.3-0731_CFG2.0_DIT20.wav,
2026-08-15T01:46:39,2,三國演義,lora-r32-mixed-e7.6-0731,2.0,20,成功,97.4,4ce2233b699f473da6f2024e636400e9,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/三國演義/lora-r32-mixed-e7.6-0731_CFG2.0_DIT20.wav,
2026-08-15T01:47:55,2,紅樓夢,ft-mixed-lr1e5-e1.6-0801,2.0,20,成功,76.3,8d0db73230814850995e035b45c3982f,/Users/miru/Documents/活動/台語TTS平台/聲音/測試聲音/VoxCPM2_mix系列批次生成/紅樓夢/ft-mixed-lr1e5-e1.6-0801_CFG2.0_DIT20.wav,
